Puerto,Coordenadas
Adak,"51.8666667, -176.6666667"
Akutan,"54.1626466, -165.8594259"
Alabama Inland Ports,"32.4166667, -87.0333333"
Aladdin,"44.38, -104.1"
Alameda,"37.7568964, -122.2564929"
Alamogordo,"32.53, -105.57"
Algonac,"42.6313121, -82.5194427"
Allegan,"42.528314, -85.85168"
Alliance,"31.31, -93.39"
Almena,"45.25, -92.01"
Amsterdam,"38.2, -94.35"
Anacortes,"48.5166667, -122.6"
Anadarko,"35.04, -98.14"
Anaheim,"33.5, -117.54"
Anchorage,"61.2166667, -149.8833333"
Anchorville,"42.41, -82.41"
Angoon,"57.5810754, -134.6107992"
Apalachicola,"29.7181565, -85.0060209"
Appleton,"43.19, -78.39"
Archbold,"41.31, -84.18"
Arkansas City,"33.36, -91.12"
Ashburn,"39.03, -77.29"
Ash Grove,"38.46, -107.57"
Ashland,"46.5833333, -90.8666667"
Ashtabula,"41.9, -80.8"
Astatula,"28.42, -81.43"
Astoria,"46.27711, -124.0441583"
Atlanta,"33.7679192, -84.560689"
Atreco,"29.9851179, -93.8805881"
Avon Park,"29.9245521, -90.1859083"
Balboa,"33.0999983, -117.2928169"
Baltimore,"39.2812546, -76.595647"
Bangor,"44.7833333, -68.7833333"
Barber's Point Harbor,"21.3166667, -158.1166667"
Bar Harbor,"44.3333333, -68.2333333"
Barrington,"43.13, -71.02"
Bartow,"38.32, -79.47"
Bassett,"42.35, -99.32"
Bastrop,"30.07, -97.19"
Bath,"43.9, -69.8166667"
Baton Rouge,"30.4669638, -91.1920891"
Battle Ground,"40.3, -86.5"
Bay City,"43.5833333, -83.8833333"
Bay Meadows,"31.27, -82.55"
Beaumont,"30.081847, -94.0867642"
Beaverton,"43.52, -84.29"
Belfast,"44.4193586, -68.9941406"
Belle Fourche,"44.4, -103.51"
Belle Plaine,"44.37, -93.46"
Bellingham,"48.7570185, -122.5097973"
Benicia,"38.0539208, -122.1677005"
Bernalillo,"35.18, -106.33"
Berwick,"29.41, -91.13"
Bethel,"60.8, -161.75"
Big Sandy,"48.11, -110.07"
Billings,"37.04, -93.33"
Birmingham,"42.544784, -83.21527"
Black Rock Harbor,"41.1531021, -73.2221619"
Blissfield,"40.23, -81.57"
Boca Grande,"26.8610166, -82.2905153"
Bonanza,"42.11, -121.24"
Boone,"38.15, -104.15"
Borger,"35.4, -101.23"
Boston,"42.35, -71.0833333"
Bradwood,"46.11, -123.26"
Brattleboro,"42.51, -72.34"
Brazil,"39.31, -87.07"
Bridgeport,"41.1916312, -73.1235954"
Bridgetown,"39.1422222, -84.6308333"
Bronx,"40.51, -73.52"
Brownsville,"25.9481687, -97.4082989"
Brownsville-Port Isabel,"26.0740815, -97.2104898"
Brownwood,"37.04, -89.57"
Brunswick,"31.1490811, -81.4981519"
Buckland,"42.35, -72.47"
Buena Park,"33.52, -117.59"
Buffalo,"42.8855318, -78.8825241"
Buras,"30.4492599, -91.1905455"
Burlington,"44.4696063, -73.215482"
Burnet,"30.45, -98.13"
Burney,"39.19, -85.38"
Burns Harbor,"41.6333333, -87.1833333"
Burton,"42.58, -83.36"
Calexico,"32.4, -115.28"
Calumet City,"41.36, -87.31"
Camas-Washougal,"45.5767254, -122.4369329"
Cambridge,"38.5720351, -76.0697566"
Camden,"39.9328717, -75.1322175"
Campbellsburg,"38.39, -86.15"
Canandaigua,"42.52, -77.17"
Candor,"42.13, -76.2"
Cape Charles,"37.2855177, -76.0140905"
Cape Cod Canal,"41.7161556, -70.6140747"
Carnegie,"35.06, -98.36"
Castle Island,"56.65, -177.68"
Castroville,"29.21, -98.53"
Catawba,"45.32, -90.31"
Cedar Hills,"40.24, -111.45"
Champion,"46.3, -87.57"
Charles City,"37.34, -77.07"
Charleston,"32.7761176, -79.9281851"
Charlevoix,"45.3099074, -85.2694135"
Charlotte,"35.227085, -80.843124"
Chateaugay,"44.55, -74.04"
Chattahoochee,"33.48, -84.28"
Chattanooga,"32.7931452, -79.9292164"
Cheboygan,"45.6484287, -84.4762783"
Chicago,"41.8855, -87.617"
Chicago Heights,"41.8565545, -87.624206"
Chickasha,"35.03, -97.56"
Cincinnati,"39.103119, -84.512016"
Clarkston,"46.4333333, -117.0333333"
Clayton,"44.2460645, -76.0546823"
Clearwater,"27.9484442, -82.7953414"
Cleveland,"41.4940412, -81.7125447"
Colbert,"34.02, -83.13"
Cold Bay,"55.2015675, -162.7082397"
College Point,"40.47, -73.5"
Colon,"41.57, -85.19"
Colorado City,"37.56, -104.5"
Columbus,"32.4683333, -84.985"
Conneaut,"41.9694019, -80.5194131"
Constantine,"41.5, -85.41"
Coos Bay,"43.4065864, -124.2935695"
Corcoran,"45.05, -93.32"
Cordova,"60.5662007, -145.8765299"
Corpus Christi,"27.8000003, -97.3956904"
Corsicana,"32.05, -96.28"
Cottondale,"33.12, -87.27"
Craig,"55.4677669, -133.1115479"
Crescent City,"41.75, -124.2"
Crockett,"37.59, -83.05"
Crossett,"40.5833333, -74.2125468"
Crowley,"32.34, -97.21"
Cumming,"34.1920544, -84.1044557"
Dallas,"32.779167, -96.808891"
Dawson,"44.55, -93.06"
Delano,"35.16, -84.33"
Delavan,"40.22, -89.32"
Delaware,"40.53, -75.03"
Delaware Bay,"39.5862431, -75.5979408"
Delaware City,"39.5833333, -75.6"
Delphi,"40.35, -86.4"
Del Rio,"35.55, -83.02"
Denver,"39.73915, -104.9847"
Des Moines,"47.4019444, -122.3244444"
Des Plaines,"29.9316955, -90.3503434"
Destrehan,"29.9319209, -90.062287"
Detroit,"42.3307941, -83.0309283"
Detroit City,"42.3141284, -83.0780088"
Dickson,"36.04, -87.23"
Dillingham,"58.9818111, -158.420105"
Dilworth,"29.3, -97.17"
Donaldson,"48.34, -96.53"
Drift River Marine Terminal,"60.5769966, -152.2102376"
Duluth-Superior,"46.7335682, -92.1606441"
Dunkirk,"42.4844444, -79.3166667"
Dunseith,"48.48, -100.03"
Dutch Harbor,"53.9239454, -166.6513112"
Eagle Pass,"28.42, -100.29"
Eastport Maine Usa,"44.9, -66.9833333"
East Saint Louis,"38.6188126, -90.1740326"
East Sandwich,"41.44, -70.27"
Eaton,"40.2, -85.21"
Eddystone,"39.8500625, -75.3426966"
Edgeley,"46.21, -98.42"
Edison,"31.33, -84.44"
El Capitan,"32.8936071, -118.4661068"
El Dorado,"38.4, -120.51"
Elizabeth,"40.6505778, -74.1779717"
Elkhorn,"41.17, -96.14"
Elko,"32.19, -83.42"
Elmhurst,"42.07, -79.17"
Elmira,"45.03, -84.51"
Elmwood Park,"41.55, -87.48"
El Segundo,"33.9022792, -118.4115472"
El Toro,"33.38, -117.4"
Ely,"41.52, -91.35"
Emlenton,"41.1, -79.42"
Endeavor,"43.42, -89.27"
Erie,"42.1217595, -80.0951285"
Escanaba,"45.7718399, -87.0707871"
Etowah,"35.19, -82.35"
Eufaula,"35.17, -95.35"
Eugene,"38.21, -92.24"
Everett,"42.35, -71.0833333"
Fabens,"31.3, -106.09"
Fairburn,"33.56706, -84.58104"
Fairport,"41.75, -81.2833333"
Fall River,"43.23, -89.02"
Fargo,"41.7, -71.1666667"
Fernandina Beach,"30.6845224, -81.4560711"
Ferndale,"48.8202831, -122.7029278"
Fillmore,"34.23, -118.55"
Findlay,"39.31, -88.45"
Fishersville,"38.05, -78.58"
Fitchburg,"42.57, -89.28"
Flint,"32.12, -95.2"
Flower Mound,"33.02, -97.05"
Foley,"45.39, -93.54"
Fond Du Lac,"43.7818828, -88.4454346"
Forrest,"40.45, -88.24"
Fort Lauderdale,"26.1898259, -80.0968566"
Fort Smith,"35.23, -94.23"
Fort Wayne,"41.02, -85.08"
Fort Worth,"32.768799, -97.309341"
Fosston,"47.34, -95.45"
Freeport,"28.9319744, -95.3119841"
Frewsburg,"42.03, -79.1"
Frontier,"48.59, -117.49"
Gadsden,"33.5, -80.45"
Galion,"40.44, -82.47"
Gallup,"40.6187515, -74.072347"
Galveston,"29.2725515, -94.8264669"
Gardiner,"41.4, -74.09"
Garfield,"47.0166667, -117.1333333"
Gaston,"45.26, -123.08"
Georgetown,"33.35, -79.2833333"
Glen Dale,"39.57, -80.44"
Gloucester,"42.6099712, -70.66804"
Golden Valley,"35.13, -114.12"
Gonzalez,"30.34, -87.17"
Good Hope,"29.9861595, -90.397943"
Goodland,"40.46, -87.18"
Grand Blanc,"42.55, -83.37"
Grand Haven,"43.0666667, -86.2166667"
Grand Rapids,"41.24, -81.52"
Grays Harbor,"46.9333333, -123.85"
Grays River,"46.21, -123.36"
Great Lakes,"30.0395989, -90.612889"
Greenport Harbor,"41.1139685, -72.3431302"
Greenview,"40.05, -89.44"
Grove City,"42.35, -72.0833333"
Gulfport,"30.3618506, -89.0946609"
Gustavus,"58.4166667, -135.8333333"
Hagerstown,"39.54, -85.1"
Haines,"59.25, -135.4468791"
Haleyville,"34.14, -87.38"
Hallandale,"25.58, -80.08"
Hamburg,"41.1534, -74.5762"
Hamlet,"41.32, -86.34"
Hampshire,"35.36, -87.18"
Hampton Roads,"37.0149295, -76.3443165"
Hansboro,"48.57, -99.22"
Hanska,"44.08, -94.29"
Hardwick,"42.3491, -72.1992"
Hatfield,"42.22, -72.36"
Hauppauge,"40.5, -73.12"
Havana,"30.6312, -84.4155"
Haverhill,"44.02, -72.03"
Hawthorne,"28.45, -81.52"
Hempstead,"30.06, -96.05"
High Point,"35.970554, -79.997498"
Hills,"43.31, -96.21"
Hillside,"38.15, -105.36"
Hiwassee,"36.58, -80.42"
Hoboken,"31.11, -82.08"
Hollis,"55.459155, -132.598114"
Home,"59.6610915, -151.5"
Homestead,"40.24, -79.54"
Honolulu,"21.2987548, -157.8663262"
Hooksett,"43.06, -71.28"
Hoonah,"58.11883, -135.3948812"
Horseheads,"42.1, -76.49"
Hospers,"43.04, -95.54"
Houlton,"46.1242, -67.8398"
Houston,"29.7457524, -95.2871564"
Howey In The Hills,"28.7165, -81.7737"
Hueneme,"34.15, -119.2"
Huntingdon Valley,"40.07, -75.03"
Huntington Beach,"33.6626659, -118.0099594"
Huntsville,"30.7118, -95.5513"
Huron,"41.4, -82.5833333"
Hyannis Harbor,"41.6289853, -70.3094277"
Hydaburg,"55.17027, -132.8384399"
Hyrum,"41.38, -111.51"
Idabel,"33.53, -94.49"
Indianapolis,"39.7764, -86.1461"
Iowa City,"41.39, -91.31"
Ithaca,"43.17, -84.36"
Iuka,"34.48, -88.11"
Jacksonville,"30.3247388, -81.6292437"
Jenison,"42.54, -85.49"
Jesup,"42.28, -92.03"
John F. Kennedy Apt/New York,"40.38, -73.46"
Johnston Island Harbour,"16.7666667, -169.5"
Jonesport,"44.31, -67.37"
